Id,Start time,Completion time,Email,Name,How would you rate your overall experience today?,Did this event help you better understand SBM and our career opportunities?,Which opportunities interested you most?,Which best describes you?,How interested are you in exploring opportunities with SBM?,What could make this event better?,Anything else you’d like us to know?
1,3/6/2026 9:31,3/6/2026 9:32,anonymous,,5,Yes — very helpful,Operations / Site Leadership Roles;Manager-in-Training (MIT) Program;,Early career professional (2–5 years),Very interested,More role/program details,
2,3/6/2026 9:29,3/6/2026 9:35,anonymous,,5,Yes — very helpful,Operations / Site Leadership Roles;Corporate / Business Roles;Manager-in-Training (MIT) Program;,Experienced professional (5+ years),Very interested,More role/program details,"The event was great and a refreshing approach to the application process. It felt genuinely human and engaging.  One suggestion would be to provide a bit more clarity ahead of time about the format. I was expecting more of an open house, but overall it was a really positive experience."
3,3/6/2026 15:14,3/6/2026 15:19,anonymous,,5,Yes — very helpful,Manager-in-Training (MIT) Program;,Experienced professional (5+ years),Very interested,Nothing — it was great,
4,3/6/2026 16:21,3/6/2026 16:26,anonymous,,5,Yes — very helpful,Operations / Site Leadership Roles;Corporate / Business Roles;,Experienced professional (5+ years),Very interested,Nothing — it was great,Clifton Johnson
5,3/7/2026 22:24,3/7/2026 22:25,anonymous,,5,Yes — very helpful,Manager-in-Training (MIT) Program;General Career Exploration;,Recent graduate (0–2 years),Somewhat interested,Nothing — it was great,
6,3/8/2026 19:58,3/8/2026 19:59,anonymous,,5,Yes — very helpful,Manager-in-Training (MIT) Program;,Experienced professional (5+ years),Very interested,Clearer application steps,
